order_1,order_2,order_3,order_4,order_5,order_6,order_7,order_8,order_9,order_10,order_11
1,25,38,38,22,22,17,17,17,49,46
2,1,25,41,38,24,22,44,18,50,49
3,26,1,25,28,38,24,22,44,37,21
4,2,39,42,16,51,38,24,22,17,34
5,3,26,1,41,28,34,20,29,18,50
6,27,2,33,25,2,51,38,24,52,37
7,4,3,34,14,16,28,1,20,35,27
8,5,40,39,42,41,2,45,38,44,17
9,28,27,26,36,3,16,33,32,22,30
10,29,15,10,1,25,15,34,1,2,14
11,30,4,11,45,52,4,27,45,16,42
12,31,5,12,33,6,5,13,33,29,18
13,6,28,2,46,7,18,47,46,24,10
14,7,16,3,17,40,29,48,21,20,41
15,8,17,40,34,14,41,26,34,38,3
16,9,29,27,29,42,3,51,27,32,13
17,32,30,15,39,36,25,28,30,6,36
18,33,31,4,47,1,52,8,10,7,39
19,34,6,5,48,45,6,9,41,40,52
20,10,7,43,26,33,7,49,3,23,35
21,11,8,44,49,27,40,50,13,1,44
22,12,9,20,50,8,14,37,47,45,22
23,13,32,13,37,9,42,35,48,33,2
24,35,18,35,30,32,36,2,26,15,16
25,14,19,21,10,46,39,16,25,4,29
26,36,41,22,23,17,19,15,51,31,24
27,37,42,28,31,34,43,4,28,46,20
28,38,33,16,11,15,44,5,8,21,5
29,39,34,14,12,4,20,18,9,34,47
30,40,10,36,24,5,1,29,49,27,48
31,15,11,45,51,18,45,32,50,30,38
32,16,12,46,2,29,33,46,37,14,32
33,17,43,17,3,39,27,21,52,42,6
34,18,44,29,52,19,13,30,35,10,7
35,19,20,47,6,43,47,10,2,41,26
36,41,13,48,7,44,48,41,16,3,11
37,42,35,49,40,20,26,3,6,13,12
38,43,21,50,27,13,8,25,7,36,40
39,44,22,37,8,47,9,52,40,39,23
40,20,14,30,9,48,49,6,23,5,1
41,21,36,23,32,26,50,7,15,47,19
42,22,45,31,15,49,37,40,4,48,25
43,45,46,24,4,50,35,23,31,26,51
44,46,47,51,5,37,32,31,14,11,28
45,47,48,52,18,35,46,14,42,12,43
46,48,49,6,19,21,21,42,36,19,8
47,49,50,7,43,30,30,36,39,25,9
48,50,37,8,44,10,10,39,5,51,45
49,23,23,9,20,23,23,11,11,28,33
50,24,24,32,13,31,31,12,12,43,15
51,51,51,18,35,11,11,19,19,8,4
52,52,52,19,21,12,12,43,43,9,31
